Series,Episode,Task,Description,Contestant,Score
Series 1,Episode 1: Melon buffet. (28 July 2015),1,Prize: Most unusual item.,Frank Skinner,4
Series 1,Episode 1: Melon buffet. (28 July 2015),2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",Frank Skinner,2
Series 1,Episode 1: Melon buffet. (28 July 2015),3,Paint the best picture of a horse whilst riding a horse.,Frank Skinner,5
Series 1,Episode 1: Melon buffet. (28 July 2015),4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",Frank Skinner,4
Series 1,Episode 1: Melon buffet. (28 July 2015),5,Live: Pop up a tent. Get in the tent. Zip up the tent. Pop on a onesie in the tent. And emerge from the tent wearing the onesie.,Frank Skinner,4
Series 1,Episode 1: Melon buffet. (28 July 2015),T,Find Alex.,Frank Skinner,✔
Series 1,Episode 2: The pie whisperer. (4 August 2015),1,Prize: Most impressive item.,Frank Skinner,4
Series 1,Episode 2: The pie whisperer. (4 August 2015),2,High-five a 55-year-old.,Frank Skinner,2
Series 1,Episode 2: The pie whisperer. (4 August 2015),3,"Identify the contents of these pies. You may touch the pies, but may not breach their pastry.",Frank Skinner,1
Series 1,Episode 2: The pie whisperer. (4 August 2015),4,Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards that will look impressive when the footage is played in reverse.,Frank Skinner,1
Series 1,Episode 2: The pie whisperer. (4 August 2015),5,"Live: Crack the code, unshackle yourself and sprint 1 metre.",Frank Skinner,1
Series 1,Episode 3: The poet and the egg. (11 August 2015),1,Prize: Most meaningful item.,Frank Skinner,4
Series 1,Episode 3: The poet and the egg. (11 August 2015),2,Throw a teabag into a mug from the farthest distance.,Frank Skinner,4
Series 1,Episode 3: The poet and the egg. (11 August 2015),3,"Using this device to track your route, create the best image for the Taskmaster. Pop a balloon to signal you have finished your image.",Frank Skinner,2
Series 1,Episode 3: The poet and the egg. (11 August 2015),4,Buy the best present for the Taskmaster. Here is £20.,Frank Skinner,3
Series 1,Episode 3: The poet and the egg. (11 August 2015),5,"Using only the items currently on this table, get this egg as high as possible. The egg must not break.",Frank Skinner,0
Series 1,Episode 3: The poet and the egg. (11 August 2015),6,Live: Stand up after 100 seconds.,Frank Skinner,2
Series 1,Episode 3: The poet and the egg. (11 August 2015),T,What is Frank Skinner's age in minutes?,Frank Skinner,–
Series 1,Episode 4: Down an octave. (18 August 2015),1,Prize: Most beautiful item.,Frank Skinner,3
Series 1,Episode 4: Down an octave. (18 August 2015),2,Make this ice block disappear as fast as possible.,Frank Skinner,4
Series 1,Episode 4: Down an octave. (18 August 2015),3,Team: Get to 11 points as fast as possible.,Frank Skinner,1
Series 1,Episode 4: Down an octave. (18 August 2015),4,Fill an egg cup with as many tears as possible.,Frank Skinner,5
Series 1,Episode 4: Down an octave. (18 August 2015),S,Count the beans in this baked bean tin.,Frank Skinner,–
Series 1,Episode 4: Down an octave. (18 August 2015),Count the hoops in this tin of spaghetti hoops,,Frank Skinner,
Series 1,Episode 4: Down an octave. (18 August 2015),Count the grains of rice in this bag of rice.,,Frank Skinner,
Series 1,Episode 4: Down an octave. (18 August 2015),5,Live: Memorise the names of an Australian rules football team.,Frank Skinner,1
Series 1,Episode 5: Little denim shorts. (25 August 2015),1,Prize: Most valuable item.,Frank Skinner,4
Series 1,Episode 5: Little denim shorts. (25 August 2015),2,Get this boulder as far from this place as possible.,Frank Skinner,4
Series 1,Episode 5: Little denim shorts. (25 August 2015),3,Grow the longest nail.,Frank Skinner,3
Series 1,Episode 5: Little denim shorts. (25 August 2015),4,Team: Make this bed to a hotel standard whilst holding hands. Your time ends when you get in the bed. Hold hands now.,Frank Skinner,2
Series 1,Episode 5: Little denim shorts. (25 August 2015),5,Make this Swedish person blush as deeply as possible.,Frank Skinner,3
Series 1,Episode 5: Little denim shorts. (25 August 2015),6,Live: Blow up the biggest balloon whilst blindfolded.,Frank Skinner,4
Series 1,Episode 6: The last supper. (1 September 2015),1,Prize: Most satisfying item.,Frank Skinner,2
Series 1,Episode 6: The last supper. (1 September 2015),2,Get the lowest golf score using eggs. You must complete the 5 holes using chicken eggs. You score will be calculated as follows: Shots x eggs x minutes.,Frank Skinner,4
Series 1,Episode 6: The last supper. (1 September 2015),3,Team: Stage a realistic blooper from a home movie.,Frank Skinner,2
Series 1,Episode 6: The last supper. (1 September 2015),4,Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet.,Frank Skinner,5
Series 1,Episode 6: The last supper. (1 September 2015),5,"Live: Wearing boxing gloves, put the blue sweets in the empty bowl. Non-blue sweets will be subtracted from your total.",Frank Skinner,3
Series 1,Episode 1: Melon buffet. (28 July 2015),1,Prize: Most unusual item.,Josh Widdicombe,1
Series 1,Episode 1: Melon buffet. (28 July 2015),2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",Josh Widdicombe,3
Series 1,Episode 1: Melon buffet. (28 July 2015),3,Paint the best picture of a horse whilst riding a horse.,Josh Widdicombe,3
Series 1,Episode 1: Melon buffet. (28 July 2015),4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",Josh Widdicombe,3
Series 1,Episode 1: Melon buffet. (28 July 2015),5,Live: Pop up a tent. Get in the tent. Zip up the tent. Pop on a onesie in the tent. And emerge from the tent wearing the onesie.,Josh Widdicombe,3
Series 1,Episode 1: Melon buffet. (28 July 2015),T,Find Alex.,Josh Widdicombe,–
Series 1,Episode 2: The pie whisperer. (4 August 2015),1,Prize: Most impressive item.,Josh Widdicombe,2
Series 1,Episode 2: The pie whisperer. (4 August 2015),2,High-five a 55-year-old.,Josh Widdicombe,5
Series 1,Episode 2: The pie whisperer. (4 August 2015),3,"Identify the contents of these pies. You may touch the pies, but may not breach their pastry.",Josh Widdicombe,2
Series 1,Episode 2: The pie whisperer. (4 August 2015),4,Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards that will look impressive when the footage is played in reverse.,Josh Widdicombe,4
Series 1,Episode 2: The pie whisperer. (4 August 2015),5,"Live: Crack the code, unshackle yourself and sprint 1 metre.",Josh Widdicombe,3
Series 1,Episode 3: The poet and the egg. (11 August 2015),1,Prize: Most meaningful item.,Josh Widdicombe,2
Series 1,Episode 3: The poet and the egg. (11 August 2015),2,Throw a teabag into a mug from the farthest distance.,Josh Widdicombe,DQ
Series 1,Episode 3: The poet and the egg. (11 August 2015),3,"Using this device to track your route, create the best image for the Taskmaster. Pop a balloon to signal you have finished your image.",Josh Widdicombe,5
Series 1,Episode 3: The poet and the egg. (11 August 2015),4,Buy the best present for the Taskmaster. Here is £20.,Josh Widdicombe,5
Series 1,Episode 3: The poet and the egg. (11 August 2015),5,"Using only the items currently on this table, get this egg as high as possible. The egg must not break.",Josh Widdicombe,5
Series 1,Episode 3: The poet and the egg. (11 August 2015),6,Live: Stand up after 100 seconds.,Josh Widdicombe,5
Series 1,Episode 3: The poet and the egg. (11 August 2015),T,What is Frank Skinner's age in minutes?,Josh Widdicombe,✔
Series 1,Episode 4: Down an octave. (18 August 2015),1,Prize: Most beautiful item.,Josh Widdicombe,4
Series 1,Episode 4: Down an octave. (18 August 2015),2,Make this ice block disappear as fast as possible.,Josh Widdicombe,5
Series 1,Episode 4: Down an octave. (18 August 2015),3,Team: Get to 11 points as fast as possible.,Josh Widdicombe,2
Series 1,Episode 4: Down an octave. (18 August 2015),4,Fill an egg cup with as many tears as possible.,Josh Widdicombe,3
Series 1,Episode 4: Down an octave. (18 August 2015),S,Count the beans in this baked bean tin.,Josh Widdicombe,1
Series 1,Episode 4: Down an octave. (18 August 2015),Count the hoops in this tin of spaghetti hoops,,Josh Widdicombe,
Series 1,Episode 4: Down an octave. (18 August 2015),Count the grains of rice in this bag of rice.,,Josh Widdicombe,
Series 1,Episode 4: Down an octave. (18 August 2015),5,Live: Memorise the names of an Australian rules football team.,Josh Widdicombe,1
Series 1,Episode 5: Little denim shorts. (25 August 2015),1,Prize: Most valuable item.,Josh Widdicombe,5
Series 1,Episode 5: Little denim shorts. (25 August 2015),2,Get this boulder as far from this place as possible.,Josh Widdicombe,5
Series 1,Episode 5: Little denim shorts. (25 August 2015),3,Grow the longest nail.,Josh Widdicombe,5
Series 1,Episode 5: Little denim shorts. (25 August 2015),4,Team: Make this bed to a hotel standard whilst holding hands. Your time ends when you get in the bed. Hold hands now.,Josh Widdicombe,0
Series 1,Episode 5: Little denim shorts. (25 August 2015),5,Make this Swedish person blush as deeply as possible.,Josh Widdicombe,1
Series 1,Episode 5: Little denim shorts. (25 August 2015),6,Live: Blow up the biggest balloon whilst blindfolded.,Josh Widdicombe,2
Series 1,Episode 6: The last supper. (1 September 2015),1,Prize: Most satisfying item.,Josh Widdicombe,4
Series 1,Episode 6: The last supper. (1 September 2015),2,Get the lowest golf score using eggs. You must complete the 5 holes using chicken eggs. You score will be calculated as follows: Shots x eggs x minutes.,Josh Widdicombe,2
Series 1,Episode 6: The last supper. (1 September 2015),3,Team: Stage a realistic blooper from a home movie.,Josh Widdicombe,0
Series 1,Episode 6: The last supper. (1 September 2015),4,Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet.,Josh Widdicombe,1
Series 1,Episode 6: The last supper. (1 September 2015),5,"Live: Wearing boxing gloves, put the blue sweets in the empty bowl. Non-blue sweets will be subtracted from your total.",Josh Widdicombe,2
Series 1,Episode 1: Melon buffet. (28 July 2015),1,Prize: Most unusual item.,Roisin Conaty,2
Series 1,Episode 1: Melon buffet. (28 July 2015),2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",Roisin Conaty,1
Series 1,Episode 1: Melon buffet. (28 July 2015),3,Paint the best picture of a horse whilst riding a horse.,Roisin Conaty,1
Series 1,Episode 1: Melon buffet. (28 July 2015),4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",Roisin Conaty,2
Series 1,Episode 1: Melon buffet. (28 July 2015),5,Live: Pop up a tent. Get in the tent. Zip up the tent. Pop on a onesie in the tent. And emerge from the tent wearing the onesie.,Roisin Conaty,1
Series 1,Episode 1: Melon buffet. (28 July 2015),T,Find Alex.,Roisin Conaty,–
Series 1,Episode 2: The pie whisperer. (4 August 2015),1,Prize: Most impressive item.,Roisin Conaty,3
Series 1,Episode 2: The pie whisperer. (4 August 2015),2,High-five a 55-year-old.,Roisin Conaty,4
Series 1,Episode 2: The pie whisperer. (4 August 2015),3,"Identify the contents of these pies. You may touch the pies, but may not breach their pastry.",Roisin Conaty,4
Series 1,Episode 2: The pie whisperer. (4 August 2015),4,Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards that will look impressive when the footage is played in reverse.,Roisin Conaty,5
Series 1,Episode 2: The pie whisperer. (4 August 2015),5,"Live: Crack the code, unshackle yourself and sprint 1 metre.",Roisin Conaty,5
Series 1,Episode 3: The poet and the egg. (11 August 2015),1,Prize: Most meaningful item.,Roisin Conaty,1
Series 1,Episode 3: The poet and the egg. (11 August 2015),2,Throw a teabag into a mug from the farthest distance.,Roisin Conaty,2
Series 1,Episode 3: The poet and the egg. (11 August 2015),3,"Using this device to track your route, create the best image for the Taskmaster. Pop a balloon to signal you have finished your image.",Roisin Conaty,1
Series 1,Episode 3: The poet and the egg. (11 August 2015),4,Buy the best present for the Taskmaster. Here is £20.,Roisin Conaty,4
Series 1,Episode 3: The poet and the egg. (11 August 2015),5,"Using only the items currently on this table, get this egg as high as possible. The egg must not break.",Roisin Conaty,0
Series 1,Episode 3: The poet and the egg. (11 August 2015),6,Live: Stand up after 100 seconds.,Roisin Conaty,1
Series 1,Episode 3: The poet and the egg. (11 August 2015),T,What is Frank Skinner's age in minutes?,Roisin Conaty,–
Series 1,Episode 4: Down an octave. (18 August 2015),1,Prize: Most beautiful item.,Roisin Conaty,2
Series 1,Episode 4: Down an octave. (18 August 2015),2,Make this ice block disappear as fast as possible.,Roisin Conaty,3
Series 1,Episode 4: Down an octave. (18 August 2015),3,Team: Get to 11 points as fast as possible.,Roisin Conaty,2
Series 1,Episode 4: Down an octave. (18 August 2015),4,Fill an egg cup with as many tears as possible.,Roisin Conaty,1
Series 1,Episode 4: Down an octave. (18 August 2015),S,Count the beans in this baked bean tin.,Roisin Conaty,–
Series 1,Episode 4: Down an octave. (18 August 2015),Count the hoops in this tin of spaghetti hoops,,Roisin Conaty,
Series 1,Episode 4: Down an octave. (18 August 2015),Count the grains of rice in this bag of rice.,,Roisin Conaty,
Series 1,Episode 4: Down an octave. (18 August 2015),5,Live: Memorise the names of an Australian rules football team.,Roisin Conaty,1
Series 1,Episode 5: Little denim shorts. (25 August 2015),1,Prize: Most valuable item.,Roisin Conaty,1
Series 1,Episode 5: Little denim shorts. (25 August 2015),2,Get this boulder as far from this place as possible.,Roisin Conaty,1
Series 1,Episode 5: Little denim shorts. (25 August 2015),3,Grow the longest nail.,Roisin Conaty,2
Series 1,Episode 5: Little denim shorts. (25 August 2015),4,Team: Make this bed to a hotel standard whilst holding hands. Your time ends when you get in the bed. Hold hands now.,Roisin Conaty,0
Series 1,Episode 5: Little denim shorts. (25 August 2015),5,Make this Swedish person blush as deeply as possible.,Roisin Conaty,5
Series 1,Episode 5: Little denim shorts. (25 August 2015),6,Live: Blow up the biggest balloon whilst blindfolded.,Roisin Conaty,5
Series 1,Episode 6: The last supper. (1 September 2015),1,Prize: Most satisfying item.,Roisin Conaty,1
Series 1,Episode 6: The last supper. (1 September 2015),2,Get the lowest golf score using eggs. You must complete the 5 holes using chicken eggs. You score will be calculated as follows: Shots x eggs x minutes.,Roisin Conaty,5
Series 1,Episode 6: The last supper. (1 September 2015),3,Team: Stage a realistic blooper from a home movie.,Roisin Conaty,0
Series 1,Episode 6: The last supper. (1 September 2015),4,Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet.,Roisin Conaty,1
Series 1,Episode 6: The last supper. (1 September 2015),5,"Live: Wearing boxing gloves, put the blue sweets in the empty bowl. Non-blue sweets will be subtracted from your total.",Roisin Conaty,1
Series 1,Episode 1: Melon buffet. (28 July 2015),1,Prize: Most unusual item.,Romesh Ranganathan,3
Series 1,Episode 1: Melon buffet. (28 July 2015),2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",Romesh Ranganathan,5
Series 1,Episode 1: Melon buffet. (28 July 2015),3,Paint the best picture of a horse whilst riding a horse.,Romesh Ranganathan,4
Series 1,Episode 1: Melon buffet. (28 July 2015),4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",Romesh Ranganathan,5
Series 1,Episode 1: Melon buffet. (28 July 2015),5,Live: Pop up a tent. Get in the tent. Zip up the tent. Pop on a onesie in the tent. And emerge from the tent wearing the onesie.,Romesh Ranganathan,2
Series 1,Episode 1: Melon buffet. (28 July 2015),T,Find Alex.,Romesh Ranganathan,✘
